Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.290280,-0.077220,0.367499,0.284728,0.239195,0.135445,2.215928,13.000000,0.134961,0.134961
2,3322,332,1.000000,0.623753,0.282013,0.341740,0.220290,0.211181,0.057593,10.577801,13.000000,0.000853,0.005974
3,1525,152,1.000000,-0.247385,-0.618830,0.371445,0.200373,0.191386,0.161913,3.431425,13.000000,0.049195,0.058966
4,4182,418,1.000000,-0.076492,-0.331292,0.254799,0.123903,0.112118,0.060936,7.119773,13.000000,0.004493,0.015727
5,3419,341,1.000000,-0.083130,-0.308394,0.225263,0.131330,0.121662,0.077492,3.622875,13.000000,0.042469,0.058966
6,1313,131,1.000000,-0.077807,-0.365323,0.287516,0.218918,0.186986,0.105064,3.425522,13.000000,0.049421,0.058966
7,4051,405,1.000000,0.282744,0.133021,0.149723,0.087094,0.082318,0.062391,3.396671,13.000000,0.050542,0.058966
