Contrast name:,Group (ment-pain)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,-0.298746,0.168156,-1.776604,13.000000,0.950487,0.964118
2,3322,332,1.000000,-0.015699,0.175667,-0.089367,13.000000,0.534924,0.964118
3,1525,152,1.000000,-0.204399,0.104274,-1.960200,13.000000,0.964118,0.964118
4,4182,418,1.000000,-0.216506,0.154831,-1.398339,13.000000,0.907294,0.964118
5,3419,341,1.000000,-0.027170,0.056692,-0.479246,13.000000,0.680137,0.964118
6,1313,131,1.000000,-0.049979,0.057232,-0.873266,13.000000,0.800819,0.964118
7,4051,405,1.000000,-0.003279,0.008629,-0.379979,13.000000,0.644952,0.964118
