Contrast name:,Group (low)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,-0.002663,0.206294,-0.012909,19.000000,0.505083,0.883895
2,3322,332,1.000000,0.490003,0.105337,4.651750,19.000000,0.000087,0.000609
3,1525,152,1.000000,-0.489139,0.175904,-2.780720,19.000000,0.994043,0.994043
4,4182,418,1.000000,-0.121057,0.072269,-1.675105,19.000000,0.944853,0.994043
5,3419,341,1.000000,-0.127142,0.099793,-1.274054,19.000000,0.890996,0.994043
6,1313,131,1.000000,0.145090,0.112345,1.291464,19.000000,0.106017,0.247373
7,4051,405,1.000000,0.198420,0.072927,2.720819,19.000000,0.006783,0.023740
