Contrast name:,Group (linear)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,50,1.000000,0.191807,0.068341,2.806621,20.000000,0.005448,0.010796
2,1627,50,1.000000,0.222692,0.094386,2.359360,20.000000,0.014293,0.017152
3,644,50,1.000000,0.239219,0.107864,2.217781,20.000000,0.019156,0.019156
4,743,50,1.000000,0.261383,0.084816,3.081749,20.000000,0.002942,0.008825
5,462,50,1.000000,0.177561,0.066254,2.679978,20.000000,0.007197,0.010796
6,370,50,1.000000,0.463679,0.090072,5.147889,20.000000,0.000024,0.000147
