Contrast name:,Group (bel-pho/bel-pho)
Within-subjects contrast matrix:,c[1;1],
,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,0.119882,0.098878,1.212424,9.000000,0.128108,0.448376
2,3322,-0.115383,0.124015,-0.930397,9.000000,0.811776,0.947072
3,1525,-0.112447,0.030931,-3.635456,9.000000,0.997280,0.997280
4,4182,-0.065865,0.104792,-0.628532,9.000000,0.727363,0.947072
5,3419,0.123014,0.092900,1.324151,9.000000,0.109047,0.448376
6,1313,-0.004650,0.078233,-0.059437,9.000000,0.523049,0.915335
7,4051,0.033365,0.069173,0.482340,9.000000,0.320539,0.747925
