Contrast name:,Group (S-N/N)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],
,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,0.191592,0.060441,3.169915,11.000000,0.004460,0.026760
2,1627,0.037823,0.079910,0.473319,11.000000,0.322620,0.387144
3,644,0.033932,0.065880,0.515061,11.000000,0.308351,0.387144
4,743,0.109515,0.071113,1.540009,11.000000,0.075908,0.151816
5,462,0.246656,0.095706,2.577229,11.000000,0.012858,0.038575
6,370,-0.007104,0.119660,-0.059371,11.000000,0.523139,0.523139
